"Address","Status","List","SuggestedOffer","Score","Beds","Baths","Sqft","DOM","Agent","Phone","Email","Brokerage","Signals","OfferText","ListingURL"
"13127 Silverglen Run Trl, Houston, TX 77014","Foreclosed","250000","155000","40","4","3","1900","124","","","","","foreclosed/public record, 60+ days on Zillow","Good afternoon, wanted to ask if 13127 Silverglen Run Trl is still available. I’m interested in an as-is cash purchase and can close quickly if the numbers work. Since it looks like a foreclosure/REO-type opportunity, I wanted to see if offers are being reviewed now. Would the seller consider something around $155,000, subject to walkthrough/inspection?","https://www.zillow.com/homedetails/13127-Silverglen-Run-Trl-Houston-TX-77014/305351057_zpid/"
"3326 Cliffmarshall St, Houston, TX 77088","Foreclosed","197400","122500","40","3","2","1248","161","","","","","foreclosed/public record, 60+ days on Zillow","Good afternoon, wanted to ask if 3326 Cliffmarshall St is still available. I’m looking for a simple cash/as-is purchase with flexible closing. Since it looks like a foreclosure/REO-type opportunity, I wanted to see if offers are being reviewed now. If the property is still available, would an offer around $122,500 be worth discussing?","https://www.zillow.com/homedetails/3326-Cliffmarshall-St-Houston-TX-77088/27988527_zpid/"
"4416 Conward Dr, Houston, TX 77066","Foreclosed","205000","127000","40","3","2","1305","453","","","","","foreclosed/public record, 60+ days on Zillow","Hi, wanted to ask if 4416 Conward Dr is still available. I’m looking for a simple cash/as-is purchase with flexible closing. Since it looks like a foreclosure/REO-type opportunity, I wanted to see if offers are being reviewed now. If the property is still available, would an offer around $127,000 be worth discussing?","https://www.zillow.com/homedetails/4416-Conward-Dr-Houston-TX-77066/28475576_zpid/"
"4508 Beggs St, Houston, TX 77009","For sale by owner","250000","170000","40","3","2","1400","10","","","","","FSBO, price change/reduction","Good afternoon, is 4508 Beggs St still available? I’m a cash investor and can buy as-is with no seller repairs needed. I can work directly and keep the process simple if the seller is open to a cash offer. Would you be open to discussing a cash offer near $170,000, pending final review?","https://www.zillow.com/homedetails/4508-Beggs-St-Houston-TX-77009/27763826_zpid/"
"710 Country Place Dr, Houston, TX 77079","Foreclosed","190200","118000","40","2","2.5","1284","245","","","","","foreclosed/public record, 60+ days on Zillow","Hi, wanted to ask if 710 Country Place Dr is still available. I’m interested in an as-is cash purchase and can close quickly if the numbers work. Since it looks like a foreclosure/REO-type opportunity, I wanted to see if offers are being reviewed now. If the property is still available, would an offer around $118,000 be worth discussing?","https://www.zillow.com/homedetails/710-Country-Place-Dr-Houston-TX-77079/28258452_zpid/"
"7410 Lavender St, Houston, TX 77016","Foreclosed","7040","4000","40","2","1","636","43","","","","","foreclosed/public record, low price/sqft","Good afternoon, I’m checking on 7410 Lavender St. Is it still available? I’m looking for a simple cash/as-is purchase with flexible closing. Since it looks like a foreclosure/REO-type opportunity, I wanted to see if offers are being reviewed now. Would the seller consider something around $4,000, subject to walkthrough/inspection?","https://www.zillow.com/homedetails/7410-Lavender-St-Houston-TX-77016/27871799_zpid/"
"8435 Lake Crystal Dr, Houston, TX 77095","Foreclosed","263000","163000","40","3","3","1814","188","","","","","foreclosed/public record, 60+ days on Zillow","Hello, is 8435 Lake Crystal Dr still available? I’m looking for a simple cash/as-is purchase with flexible closing. Since it looks like a foreclosure/REO-type opportunity, I wanted to see if offers are being reviewed now. Would the seller consider something around $163,000, subject to walkthrough/inspection?","https://www.zillow.com/homedetails/8435-Lake-Crystal-Dr-Houston-TX-77095/28426380_zpid/"
"9310 Buffum St, Houston, TX 77051","For sale by owner","288500","202000","40","3","2","1892","58","","","","","FSBO, price change/reduction","Hello, wanted to ask if 9310 Buffum St is still available. I’m a cash investor and can buy as-is with no seller repairs needed. I can work directly and keep the process simple if the seller is open to a cash offer. Would the seller consider something around $202,000, subject to walkthrough/inspection?","https://www.zillow.com/homedetails/9310-Buffum-St-Houston-TX-77051/97644366_zpid/"
"1006 Caspian Ln, Houston, TX 77090","For sale by owner","275000","187000","35","4","3","2475","13","","","","","FSBO, low price/sqft","Hi, is 1006 Caspian Ln still available? I’m a cash investor and can buy as-is with no seller repairs needed. I can work directly and keep the process simple if the seller is open to a cash offer. If the property is still available, would an offer around $187,000 be worth discussing?","https://www.zillow.com/homedetails/1006-Caspian-Ln-Houston-TX-77090/28146551_zpid/"
"1315 Loper St, Houston, TX 77017","For sale by owner","150000","102000","35","3","1","1094","80","","","","","FSBO, 60+ days on Zillow","Good afternoon, is 1315 Loper St still available? I’m looking for a simple cash/as-is purchase with flexible closing. I can work directly and keep the process simple if the seller is open to a cash offer. Would you be open to discussing a cash offer near $102,000, pending final review?","https://www.zillow.com/homedetails/1315-Loper-St-Houston-TX-77017/27955628_zpid/"
"8242 Oak Knoll Ln, Houston, TX 77028","For sale by owner","230000","156500","35","4","2","1379","66","","","","","FSBO, 60+ days on Zillow","Good afternoon, wanted to ask if 8242 Oak Knoll Ln is still available. I’m interested in an as-is cash purchase and can close quickly if the numbers work. I can work directly and keep the process simple if the seller is open to a cash offer. Would you be open to discussing a cash offer near $156,500, pending final review?","https://www.zillow.com/homedetails/8242-Oak-Knoll-Ln-Houston-TX-77028/121116824_zpid/"
"826 N Victory Dr, Houston, TX 77088","For sale by owner","221000","150500","35","3","1","892","83","","","","","FSBO, 60+ days on Zillow","Hi, wanted to ask if 826 N Victory Dr is still available. I’m a cash investor and can buy as-is with no seller repairs needed. I can work directly and keep the process simple if the seller is open to a cash offer. If the property is still available, would an offer around $150,500 be worth discussing?","https://www.zillow.com/homedetails/826-N-Victory-Dr-Houston-TX-77088/27900685_zpid/"
"11626 Bexley Dr, Houston, TX 77099","Foreclosed","245600","152500","30","3","2","1427","50","","","","","foreclosed/public record","Hello, is 11626 Bexley Dr still available? I’m a cash investor and can buy as-is with no seller repairs needed. Since it looks like a foreclosure/REO-type opportunity, I wanted to see if offers are being reviewed now. Would the seller consider something around $152,500, subject to walkthrough/inspection?","https://www.zillow.com/homedetails/11626-Bexley-Dr-Houston-TX-77099/28318045_zpid/"
"5130 Prairie Creek Dr, Houston, TX 77084","Foreclosed","292100","187000","30","4","2.5","2259","34","","","","","foreclosed/public record","Good afternoon, is 5130 Prairie Creek Dr still available? I’m looking for a simple cash/as-is purchase with flexible closing. Since it looks like a foreclosure/REO-type opportunity, I wanted to see if offers are being reviewed now. If the property is still available, would an offer around $187,000 be worth discussing?","https://www.zillow.com/homedetails/5130-Prairie-Creek-Dr-Houston-TX-77084/28333846_zpid/"
"10855 Meadowglen Ln APT 609, Houston, TX 77042","For sale by owner","80000","52000","25","1","1","592","43","","","","","FSBO","Hello, I’m checking on 10855 Meadowglen Ln APT 609. Is it still available? I’m interested in an as-is cash purchase and can close quickly if the numbers work. I can work directly and keep the process simple if the seller is open to a cash offer. If the property is still available, would an offer around $52,000 be worth discussing?","https://www.zillow.com/homedetails/10855-Meadowglen-Ln-APT-609-Houston-TX-77042/2081237302_zpid/"
"13678 Bonilla Ln, Houston, TX 77083","For sale by owner","280000","196000","25","4","3","2114","4","","","","","FSBO","Hello, is 13678 Bonilla Ln still available? I’m interested in an as-is cash purchase and can close quickly if the numbers work. I can work directly and keep the process simple if the seller is open to a cash offer. Would the seller consider something around $196,000, subject to walkthrough/inspection?","https://www.zillow.com/homedetails/13678-Bonilla-Ln-Houston-TX-77083/28460161_zpid/"
"2827 Creek Manor Dr, Humble, TX 77339","For sale by owner","275000","187000","25","4","2","2084","43","","","","","FSBO","Hi, I’m checking on 2827 Creek Manor Dr. Is it still available? I’m a cash investor and can buy as-is with no seller repairs needed. I can work directly and keep the process simple if the seller is open to a cash offer. If the property is still available, would an offer around $187,000 be worth discussing?","https://www.zillow.com/homedetails/2827-Creek-Manor-Dr-Humble-TX-77339/28369163_zpid/"
